"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","276","@regression Updating account with invalid email format returns 404","api","2026-06-23","passed","2026-06-23","@api Update Account API - /updateAccount","api/userAccountTests.spec.ts","",""
"","220","@regression Empty value for 'state' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","250","@regression DELETE method returns 405","api","2026-06-23","passed","2026-06-23","@api @login Login API - /verifyLogin""","api/loginApiTests.spec.ts","",""
"","299","@smoke User can update account successfully with valid data","api","2026-06-23","passed","2026-06-23","@api Update Account API - /updateAccount","api/userAccountTests.spec.ts","",""
"","207","@regression Empty value for 'birth_month' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","179","@regression Empty value for 'address2' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","188","@regression Empty value for 'address1' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","148","@regression GET method is not supported and returns 405","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","9751","User can register successfully @smoke","webkit","2026-06-23","passed","2026-06-23","Register tests @ui @register","ui/registerTests.spec.ts","",""
"","73","@regression POST /searchProduct with very long search term returns empty list and does not crash","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","286","@regression @issue Duplicate email returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","257","@regression @issue Retrieving account details with invalid email format returns 200","api","2026-06-23","passed","2026-06-23","@api Get User Detail API - /getUserDetailByEmail","api/userAccountTests.spec.ts","",""
"","166","@regression Invalid email 'a@b' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","173","@regression Invalid email 'test@test' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","72","@regression POST /searchProduct with invalid symbols ""123"" returns empty list","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","254","@smoke User can retrieve account details successfully with valid email","api","2026-06-23","passed","2026-06-23","@api Get User Detail API - /getUserDetailByEmail","api/userAccountTests.spec.ts","",""
"","2909","User cannot register with an existing email @regression","firefox","2026-06-23","passed","2026-06-23","@ui @api @e2e User Registration Flow (UI → API)","ui/userFlows.spec.ts","",""
"","10276","User can login successfully @smoke","chromium","2026-06-23","passed","2026-06-23","Login tests @ui @login","ui/loginTests.spec.ts","",""
"","13761","User cannot login with wrong password @regression","firefox","2026-06-23","passed","2026-06-23","Login tests @ui @login","ui/loginTests.spec.ts","",""
"","250","@regression Login with valid email and invalid password returns 404","api","2026-06-23","passed","2026-06-23","@api @login Login API - /verifyLogin""","api/loginApiTests.spec.ts","",""
"","256","@regression Updating account with missing email returns 400","api","2026-06-23","passed","2026-06-23","@api Update Account API - /updateAccount","api/userAccountTests.spec.ts","",""
"","195","@regression Empty value for 'country' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","15129","User cannot login with wrong password @regression","webkit","2026-06-23","passed","2026-06-23","Login tests @ui @login","ui/loginTests.spec.ts","",""
"","74","@regression POST /searchProduct with whitespace for search term "" top"" returns empty list","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","132","@smoke POST /searchProduct with searchTerm ""jean"" returns matching products","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","17803","User can login successfully @smoke","webkit","2026-06-23","passed","2026-06-23","Login tests @ui @login","ui/loginTests.spec.ts","",""
"","3050","User cannot register with an existing email @regression","webkit","2026-06-23","passed","2026-06-23","@ui @api @e2e User Registration Flow (UI → API)","ui/userFlows.spec.ts","",""
"","4476","User registered via UI exists in API @smoke","chromium","2026-06-23","passed","2026-06-23","@ui @api @e2e User Registration Flow (UI → API)","ui/userFlows.spec.ts","",""
"","2004","User cannot register with an existing email @regression","chromium","2026-06-23","passed","2026-06-23","@ui @api @e2e User Registration Flow (UI → API)","ui/userFlows.spec.ts","",""
"","6105","User created via API can login and delete account via UI @smoke","chromium","2026-06-23","passed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","252","@regression Login with invalid email and valid password returns 404","api","2026-06-23","passed","2026-06-23","@api @login Login API - /verifyLogin""","api/loginApiTests.spec.ts","",""
"","9074","User registered via UI exists in API @smoke","webkit","2026-06-23","passed","2026-06-23","@ui @api @e2e User Registration Flow (UI → API)","ui/userFlows.spec.ts","",""
"","154","@regression Invalid email '' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","6624","View product details for the first product displays correct details @smoke","firefox","2026-06-23","passed","2026-06-23","Product details tests @ui @products","ui/productTests.spec.ts","",""
"","177","@regression Empty value for 'company' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","313","@regression POST /searchProduct is case-insensitive for term ""tOp""","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","2427","Login fails with SQL-like injection attempt (UI validation) @regression","chromium","2026-06-23","passed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","161","@regression All fields undefined returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","440","@smoke GET /productsList returns all products and each product has required fields","api","2026-06-23","passed","2026-06-23","@api @products Products API - /productsList","api/productsApiTests.spec.ts","",""
"","191","@regression Empty value for 'birth_year' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","8659","User cannot login with wrong password @regression","chromium","2026-06-23","passed","2026-06-23","Login tests @ui @login","ui/loginTests.spec.ts","",""
"","254","@smoke User can login successfully with valid credentials","api","2026-06-23","passed","2026-06-23","@api @login Login API - /verifyLogin""","api/loginApiTests.spec.ts","",""
"","161","@regression Invalid email 'email@.com' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","188","@regression Missing parameter 'country' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","75","@regression POST /searchProduct with invalid symbols ""топ"" returns empty list","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","15520","User cannot login with non-existing email @regression","firefox","2026-06-23","passed","2026-06-23","Login tests @ui @login","ui/loginTests.spec.ts","",""
"","7411","User registered via UI exists in API @smoke","firefox","2026-06-23","passed","2026-06-23","@ui @api @e2e User Registration Flow (UI → API)","ui/userFlows.spec.ts","",""
"","248","@regression Retrieving account details for non-existent user returns 404","api","2026-06-23","passed","2026-06-23","@api Get User Detail API - /getUserDetailByEmail","api/userAccountTests.spec.ts","",""
"","206","@regression Empty value for 'name' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","1081","site is alive","healthcheck","2026-06-23","passed","2026-06-23","","health/00-healthcheck.spec.ts","",""
"","15026","User can login successfully @smoke","firefox","2026-06-23","passed","2026-06-23","Login tests @ui @login","ui/loginTests.spec.ts","",""
"","197","@regression Missing parameter 'name' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","432","@regression POST /searchProduct with empty search term returns all products","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","183","@regression Missing parameter 'address1' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","15705","User cannot login with non-existing email @regression","webkit","2026-06-23","passed","2026-06-23","Login tests @ui @login","ui/loginTests.spec.ts","",""
"","1967","Login fails with uppercase email @regression","chromium","2026-06-23","passed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","8267","User can register successfully @smoke","firefox","2026-06-23","passed","2026-06-23","Register tests @ui @register","ui/registerTests.spec.ts","",""
"","199","@regression Empty value for 'mobile_number' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","2666","Login fails with empty fields (UI validation) @regression","chromium","2026-06-23","passed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","236","@regression Empty value for 'birth_date' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","203","@smoke POST /searchProduct with searchTerm ""tshirt"" returns matching products","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","5775","Login fails with SQL-like injection attempt (UI validation) @regression","firefox","2026-06-23","failed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","79","@regression POST /searchProduct without searchTerm returns 400 error","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","7310","Multiple failed login attempts do not affect account @regression","firefox","2026-06-23","passed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","517","@regression Missing parameter 'password' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","342","@regression Deleting non-existing user returns 404","api","2026-06-23","passed","2026-06-23","@api @deleteAccount Delete Account API - /deleteAccount","api/userAccountTests.spec.ts","",""
"","9640","Multiple failed login attempts do not affect account @regression","webkit","2026-06-23","passed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","246","@regression Login with both invalid email and password returns 404","api","2026-06-23","passed","2026-06-23","@api @login Login API - /verifyLogin""","api/loginApiTests.spec.ts","",""
